school,season,url,status,reason
Centenary College (LA),2025,https://gocentenary.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Centenary College (LA),2026,https://gocentenary.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Chatham University,2022,https://chathamcougars.com/sports/bsb/2021-22/teams/chatham,unresolved,no working URL pattern found on live site
Chatham University,2023,https://chathamcougars.com/sports/bsb/2022-23/teams/chatham,unresolved,no working URL pattern found on live site
Chatham University,2024,https://chathamcougars.com/sports/bsb/2023-24/teams/chatham,unresolved,no working URL pattern found on live site
Chatham University,2025,https://chathamcougars.com/sports/bsb/2024-25/teams/chatham,unresolved,no working URL pattern found on live site
Chatham University,2026,https://chathamcougars.com/sports/bsb/2025-26/teams/chatham,unresolved,no working URL pattern found on live site
Coe College,2022,https://kohawks.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Coe College,2023,https://kohawks.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Coe College,2024,https://kohawks.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Coe College,2025,https://kohawks.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Coe College,2026,https://kohawks.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Concordia College (Moorhead),2022,https://cobberathletics.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Concordia College (Moorhead),2023,https://cobberathletics.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Concordia College (Moorhead),2024,https://cobberathletics.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Concordia College (Moorhead),2025,https://cobberathletics.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Concordia College (Moorhead),2026,https://cobberathletics.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Concordia University Texas,2022,https://ctxtornados.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Concordia University Texas,2023,https://ctxtornados.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Concordia University Texas,2024,https://ctxtornados.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Concordia University Texas,2025,https://ctxtornados.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Concordia University Texas,2026,https://ctxtornados.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Crown College (MN),2022,https://crownstorm.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Crown College (MN),2023,https://crownstorm.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Crown College (MN),2024,https://crownstorm.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Crown College (MN),2025,https://crownstorm.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Crown College (MN),2026,https://crownstorm.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
Curry College,2022,https://www.curryathletics.com/sports/bsb/2021-22/teams/curry,unresolved,no working URL pattern found on live site
Curry College,2023,https://www.curryathletics.com/sports/bsb/2022-23/teams/curry,unresolved,no working URL pattern found on live site
Curry College,2024,https://www.curryathletics.com/sports/bsb/2023-24/teams/curry,unresolved,no working URL pattern found on live site
Curry College,2025,https://www.curryathletics.com/sports/bsb/2024-25/teams/curry,unresolved,no working URL pattern found on live site
Curry College,2026,https://www.curryathletics.com/sports/bsb/2025-26/teams/curry,unresolved,no working URL pattern found on live site
Defiance College,2022,https://defianceathletics.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
Defiance College,2023,https://defianceathletics.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
Defiance College,2024,https://defianceathletics.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
Defiance College,2025,https://defianceathletics.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
Defiance College,2026,https://defianceathletics.com/sports/baseball/stats/2026,unresolved,no working URL pattern found on live site
East Texas Baptist University,2022,https://etbutigers.com/sports/baseball/stats/2022,unresolved,no working URL pattern found on live site
East Texas Baptist University,2023,https://etbutigers.com/sports/baseball/stats/2023,unresolved,no working URL pattern found on live site
East Texas Baptist University,2024,https://etbutigers.com/sports/baseball/stats/2024,unresolved,no working URL pattern found on live site
East Texas Baptist University,2025,https://etbutigers.com/sports/baseball/stats/2025,unresolved,no working URL pattern found on live site
